wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1067.3364,0,0.58183,7.5977e-08,3.819,4.4009
1067.3463,0,0.58183,7.5982e-08,3.8189,4.4007
1067.3562,0,0.58183,7.5987e-08,3.8187,4.4005
1067.3661,0,0.58183,7.5993e-08,3.8186,4.4004
1067.3760,0,0.58183,7.5998e-08,3.8184,4.4002
1067.3859,0,0.58183,7.6004e-08,3.8182,4.4001
1067.3958,0,0.58183,7.601e-08,3.8181,4.3999
1067.4057,0,0.58183,7.6015e-08,3.8179,4.3998
1067.4156,0,0.58183,7.6021e-08,3.8178,4.3996
1067.4255,0,0.58183,7.6027e-08,3.8176,4.3995
1067.4354,0,0.58183,7.6033e-08,3.8175,4.3993
1067.4453,0,0.58183,7.6039e-08,3.8173,4.3991
1067.4552,0,0.58183,7.6045e-08,3.8172,4.399
1067.4651,0,0.58183,7.6051e-08,3.817,4.3988
1067.4750,0,0.58183,7.6057e-08,3.8169,4.3987
1067.4849,0,0.58183,7.6064e-08,3.8167,4.3985
1067.4948,0,0.58183,7.607e-08,3.8165,4.3984
1067.5047,0,0.58183,7.6077e-08,3.8164,4.3982
1067.5146,0,0.58183,7.6084e-08,3.8163,4.3981
1067.5245,0,0.58183,7.6091e-08,3.8161,4.3979
1067.5344,0,0.58183,7.6098e-08,3.816,4.3978
1067.5443,0,0.58183,7.6105e-08,3.8158,4.3977
1067.5542,0,0.58183,7.6112e-08,3.8157,4.3975
1067.5641,0,0.58183,7.6119e-08,3.8155,4.3974
1067.5740,0,0.58183,7.6127e-08,3.8154,4.3972
1067.5839,0,0.58183,7.6134e-08,3.8153,4.3971
1067.5938,0,0.58183,7.6142e-08,3.8151,4.3969
1067.6037,0,0.58183,7.615e-08,3.815,4.3968
1067.6136,0,0.58183,7.6157e-08,3.8148,4.3967
1067.6235,0,0.58183,7.6165e-08,3.8147,4.3965
1067.6334,0,0.58183,7.6173e-08,3.8146,4.3964
1067.6433,0,0.58183,7.6181e-08,3.8144,4.3962
1067.6532,0,0.58183,7.6189e-08,3.8143,4.3961
1067.6631,0,0.58183,7.6197e-08,3.8141,4.396
1067.6730,0,0.58183,7.6205e-08,3.814,4.3958
1067.6829,0,0.58183,7.6213e-08,3.8138,4.3957
1067.6928,0,0.58183,7.6221e-08,3.8137,4.3955
1067.7027,0,0.58183,7.6229e-08,3.8136,4.3954
1067.7126,0,0.58183,7.6238e-08,3.8134,4.3953
1067.7225,0,0.58183,7.6246e-08,3.8133,4.3951
1067.7324,0,0.58183,7.6254e-08,3.8131,4.395
1067.7423,0,0.58183,7.6263e-08,3.813,4.3948
1067.7522,0,0.58183,7.6271e-08,3.8129,4.3947
1067.7621,0,0.58183,7.628e-08,3.8127,4.3945
1067.7720,0,0.58183,7.6289e-08,3.8126,4.3944
1067.7819,0,0.58183,7.6297e-08,3.8124,4.3943
1067.7918,0,0.58183,7.6306e-08,3.8123,4.3941
1067.8017,0,0.58183,7.6315e-08,3.8121,4.394
1067.8116,0,0.58183,7.6324e-08,3.812,4.3938
1067.8215,0,0.58183,7.6333e-08,3.8119,4.3937
1067.8314,0,0.58183,7.6342e-08,3.8117,4.3936
1067.8413,0,0.58183,7.6351e-08,3.8116,4.3934
